layer_num,layer_name,layer_type,mean,std,min,max,percentile_2,percentile_5,percentile_95,percentile_98,percentile_99.5
3,diffusion_model.time_embed.0,Linear,-0.19007716,0.93865305,-9.184872,0.7958232,-1.4717146158218384,-1.2712364137172698,0.06415424682199934,0.07820875942707062,0.10786361992359161
5,diffusion_model.time_embed.2,Linear,0.0039218855,0.070633285,-0.40197313,1.8747602,-0.011987011879682541,-0.00908583691343665,0.01017125332728023,0.01366347260773182,0.10932883620262146
8,diffusion_model.input_blocks.0.0,Conv2d,0.003473584,0.33428806,-7.067339,6.0301566,-0.6951074004173279,-0.4757366329431534,0.4652268692851065,0.6684690117835999,1.1161693817377092
14,diffusion_model.input_blocks.1.0.in_layers.2,Conv2d,-0.12359271,0.94662476,-14.958539,17.20969,-2.5494165420532227,-1.7899984538555145,1.188139736652374,1.567152976989746,2.1505029106140157
18,diffusion_model.input_blocks.1.0.emb_layers.1,Linear,0.05129196,0.277492,-0.8674056,1.0751354,-0.5605947971343994,-0.37144106477499,0.4687998816370957,0.6360456943511963,0.817582368850708
23,diffusion_model.input_blocks.1.0.out_layers.3,Conv2d,-0.028665584,0.40139493,-14.591481,4.4556847,-1.0262755155563354,-0.6774086833000182,0.5272257596254348,0.726844072341919,1.1638786214590153
27,diffusion_model.input_blocks.1.1.proj_in,Linear,0.0008014375,0.25449607,-2.5111182,2.9788768,-0.5301743745803833,-0.38227413445711134,0.3872827723622322,0.5576441287994385,0.9402033606171629
31,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_q,Linear,-0.0023491324,1.4058698,-7.762582,7.4463425,-2.964010715484619,-2.325172007083893,2.3193212151527405,2.956490993499756,3.786109755039216
32,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_k,Linear,-0.008094742,1.3814766,-7.7018704,6.9561844,-2.9087469577789307,-2.3039591908454895,2.2769632935523987,2.8872952461242676,3.6631006729602866
33,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_v,Linear,0.001394756,0.55510765,-3.7671733,3.6211555,-1.1925761699676514,-0.9052002876996994,0.9145119339227676,1.206569790840149,1.6066362357139599
35,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_out.0,Linear,0.0021604192,0.23457809,-2.0226133,2.037345,-0.4938686490058899,-0.3603627562522888,0.37233685106038983,0.5200267434120178,0.81101163685322
40,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.0.proj,Linear,-0.06323427,0.58143026,-7.6113963,6.4030704,-1.46866925239563,-1.0137053847312927,0.784433901309967,1.0224452996253968,1.3742976063489873
42,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.2,Linear,-0.0037235825,0.3288118,-5.5552254,3.1552007,-0.6692571020126343,-0.48062516301870345,0.48210209906101203,0.6567984771728517,0.9230377814173711
44,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_q,Linear,0.033087403,0.3968985,-2.0518825,2.407753,-0.8393210768699646,-0.5979234576225281,0.6968103826045989,1.0204311609268188,1.360421267747881
45,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_k,Linear,-0.009243401,3.8819194,-25.188126,17.723454,-8.495496063232421,-5.566627502441406,5.398499727249144,8.134298057556157,12.933762807846028
46,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_v,Linear,-0.006465387,0.6976672,-6.4808254,6.3351574,-1.7017660760879516,-0.7861251831054688,0.7808147072792043,1.4956536293029785,3.259027746915815
48,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_out.0,Linear,0.00037734065,0.06667917,-0.58825845,0.8357025,-0.12507287681102752,-0.09479407742619514,0.0906617138534784,0.11718825787305832,0.2582399931550043
53,diffusion_model.input_blocks.1.1.proj_out,Linear,-0.005586419,0.29736167,-3.5142205,14.780302,-0.6284521746635436,-0.4829282984137535,0.47443752437829967,0.6243978691101075,0.8518054899573329
59,diffusion_model.input_blocks.2.0.in_layers.2,Conv2d,0.03212277,0.5492047,-3.957892,3.6717331,-1.2500357913970948,-0.9279754072427749,0.86976278424263,1.1260168910026551,1.497043659090997
63,diffusion_model.input_blocks.2.0.emb_layers.1,Linear,0.04296244,0.14122818,-0.47605196,0.3615567,-0.29171988368034363,-0.23040865063667296,0.24898233935236924,0.2856321334838867,0.3371928036212921
68,diffusion_model.input_blocks.2.0.out_layers.3,Conv2d,0.019776933,0.49598083,-3.490757,3.1289465,-0.9894527781009674,-0.776985377073288,0.8421252399682997,1.0891539025306707,1.4393010610342074
72,diffusion_model.input_blocks.2.1.proj_in,Linear,-0.003451409,0.4179551,-5.7421584,3.618811,-0.8269227051734924,-0.5860765159130097,0.5896862447261809,0.8210395586490633,1.3237837857008032
76,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_q,Linear,0.05430796,1.4517823,-7.0936418,8.083711,-2.9364917516708373,-2.34018874168396,2.4366832971572863,3.033066568374634,3.8056460952758844
77,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_k,Linear,0.07198981,1.5164099,-7.47001,7.649397,-3.0797565364837647,-2.4431751012802123,2.567744278907776,3.204056777954102,3.993880029916766
78,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_v,Linear,0.0028783272,0.63865596,-4.706909,4.165555,-1.350538022518158,-1.036596804857254,1.041720116138458,1.3522097897529601,1.7997351282835061
80,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_out.0,Linear,-0.00814055,0.3028399,-3.566181,3.9611824,-0.6657614958286285,-0.46425911039114,0.4387442216277122,0.6288283956050873,1.0161224430799511
85,diffusion_model.input_blocks.2.1.transformer_blocks.0.ff.net.0.proj,Linear,0.032557324,0.5422236,-4.4161916,4.6978292,-1.1148971104621888,-0.8566150099039078,0.9098585903644558,1.1637169122695923,1.5304221463203405
87,diffusion_model.input_blocks.2.1.transformer_blocks.0.ff.net.2,Linear,0.0067281337,0.43915778,-3.4144707,5.9613395,-0.903915102481842,-0.687718603014946,0.7097897768020629,0.9487768995761874,1.3713215452432639
89,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_q,Linear,-0.012535673,0.29992342,-1.8938622,1.5987365,-0.8083594977855683,-0.5316842079162597,0.44329383969306935,0.6652071249485016,0.9296949103474628
90,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_k,Linear,0.16752659,4.032946,-24.384499,30.764933,-8.232628307342528,-5.100982189178467,5.922737121582031,9.808235168457031,18.064934263229365
91,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_v,Linear,0.021573618,0.73174065,-6.662278,7.9306164,-1.6032923460006714,-0.6073923200368879,0.6411828339099861,1.9842327451705934,4.008553490638697
93,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_out.0,Linear,-0.0034822414,0.06427038,-1.3153225,1.6920414,-0.1234766484797001,-0.08489440679550171,0.07924097329378127,0.11854331344366074,0.19014434449374795
98,diffusion_model.input_blocks.2.1.proj_out,Linear,0.015602061,0.5859739,-3.9512885,4.3548417,-1.2123983478546143,-0.9407916188240051,0.9750823140144347,1.2547495555877688,1.647455769181252
101,diffusion_model.input_blocks.3.0.op,Conv2d,-0.0012866367,1.6663818,-14.677702,18.968607,-3.476034049987793,-2.5948682546615602,2.6744740962982165,3.642086062431335,5.228672249317168
107,diffusion_model.input_blocks.4.0.in_layers.2,Conv2d,-0.09753409,0.72990394,-10.281803,4.5309696,-1.8905263185501098,-1.359185028076172,0.8794685304164885,1.1291395998001095,1.508216811418539
111,diffusion_model.input_blocks.4.0.emb_layers.1,Linear,0.024545014,0.2871198,-5.3583603,0.45171362,-0.3688738942146301,-0.22750084996223444,0.25301601737737595,0.31888189911842346,0.42016923427581787
116,diffusion_model.input_blocks.4.0.out_layers.3,Conv2d,-0.01586414,0.6662193,-5.315028,4.709395,-1.4135975122451783,-1.113497018814087,1.0660074949264522,1.3398323273658732,1.7030725842714312
