layer_num,layer_name,layer_type,mean,std,min,max,percentile_2,percentile_5,percentile_95,percentile_98,percentile_99.5
3,diffusion_model.time_embed.0,RHTQuantizedLinear,-54.705853,294.8478,-2870.7378,620.708,-775.8768310546875,-271.5618591308594,0.016585195437073708,0.016585195437073708,38.79218292236328
5,diffusion_model.time_embed.2,RHTQuantizedLinear,-239.72665,10209.335,-158109.72,207592.36,-0.010912111029028893,-0.010912111029028893,0.0,0.010912111029028893,5563.11083984375
8,diffusion_model.input_blocks.0.0,Conv2d,,,,,,,,,
14,diffusion_model.input_blocks.1.0.in_layers.2,Conv2d,,,,,,,,,
18,diffusion_model.input_blocks.1.0.emb_layers.1,RHTQuantizedLinear,3603863.5,29786018.0,-130309550.0,133084720.0,-85968536.0,-34097559.4,53135210.39999997,77458032.0,105024688.0
23,diffusion_model.input_blocks.1.0.out_layers.3,Conv2d,,,,,,,,,
27,diffusion_model.input_blocks.1.1.proj_in,RHTQuantizedLinear,,,,,,,,,
31,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_q,RHTQuantizedLinear,,,,,,,,,
32,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_k,RHTQuantizedLinear,,,,,,,,,
33,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_v,RHTQuantizedLinear,,,,,,,,,
35,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_out.0,RHTQuantizedLinear,,,,,,,,,
40,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.0.proj,RHTQuantizedLinear,,,,,,,,,
42,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.2,RHTQuantizedLinear,,,,,,,,,
44,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_q,RHTQuantizedLinear,,,,,,,,,
45,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_k,RHTQuantizedLinear,-26.530663,4053.2014,-26271.074,18813.238,-9144.28515625,-5808.869165039063,5696.4404296875,8432.2314453125,13716.4267578125
46,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_v,RHTQuantizedLinear,-52.60255,25057.807,-111494.66,107512.71,-55747.328125,-41810.49609375,39819.51171875,49774.39453125,69684.15625
48,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_out.0,RHTQuantizedLinear,,,,,,,,,
53,diffusion_model.input_blocks.1.1.proj_out,RHTQuantizedLinear,,,,,,,,,
59,diffusion_model.input_blocks.2.0.in_layers.2,Conv2d,,,,,,,,,
63,diffusion_model.input_blocks.2.0.emb_layers.1,RHTQuantizedLinear,-595412.8,14579127.0,-62769390.0,39887940.0,-34096220.0,-21029173.2,27436336.59999999,32990204.0,38888956.0
68,diffusion_model.input_blocks.2.0.out_layers.3,Conv2d,,,,,,,,,
72,diffusion_model.input_blocks.2.1.proj_in,RHTQuantizedLinear,,,,,,,,,
76,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_q,RHTQuantizedLinear,,,,,,,,,
77,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_k,RHTQuantizedLinear,,,,,,,,,
78,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_v,RHTQuantizedLinear,,,,,,,,,
80,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_out.0,RHTQuantizedLinear,,,,,,,,,
85,diffusion_model.input_blocks.2.1.transformer_blocks.0.ff.net.0.proj,RHTQuantizedLinear,,,,,,,,,
87,diffusion_model.input_blocks.2.1.transformer_blocks.0.ff.net.2,RHTQuantizedLinear,,,,,,,,,
