layer_num,layer_name,layer_type,mean,std,min,max,percentile_2,percentile_5,percentile_95,percentile_98,percentile_99.5
3,diffusion_model.time_embed.0,RHTQuantizedLinear,-62.070656,380.27286,-3073.9521,3168.4487,-1276.791015625,-331.0450439453125,0.016585195437073708,0.016585195437073708,662.0736083984375
5,diffusion_model.time_embed.2,RHTQuantizedLinear,-861.0746,59238.707,-957066.7,975001.56,-0.010912111029028893,-0.010912111029028893,0.0,0.010912111029028893,45652.25390625
8,diffusion_model.input_blocks.0.0,Conv2d,,,,,,,,,
14,diffusion_model.input_blocks.1.0.in_layers.2,Conv2d,,,,,,,,,
18,diffusion_model.input_blocks.1.0.emb_layers.1,RHTQuantizedLinear,18985706.0,171573150.0,-756351400.0,735909500.0,-502287424.0,-202542014.39999998,292027611.19999886,437624192.0,601994048.0
23,diffusion_model.input_blocks.1.0.out_layers.3,Conv2d,,,,,,,,,
27,diffusion_model.input_blocks.1.1.proj_in,RHTQuantizedLinear,,,,,,,,,
31,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_q,RHTQuantizedLinear,,,,,,,,,
32,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_k,RHTQuantizedLinear,,,,,,,,,
33,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_v,RHTQuantizedLinear,,,,,,,,,
35,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_out.0,RHTQuantizedLinear,,,,,,,,,
40,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.0.proj,RHTQuantizedLinear,,,,,,,,,
42,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.2,RHTQuantizedLinear,,,,,,,,,
44,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_q,RHTQuantizedLinear,,,,,,,,,
45,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_k,RHTQuantizedLinear,-26.530663,4053.2014,-26271.074,18813.238,-9144.28515625,-5808.869165039063,5696.4404296875,8432.2314453125,13716.4267578125
46,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_v,RHTQuantizedLinear,-52.60255,25057.807,-111494.66,107512.71,-55747.328125,-41810.49609375,39819.51171875,49774.39453125,69684.15625
48,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_out.0,RHTQuantizedLinear,,,,,,,,,
